year;month;day;hour;min;sec;h;uh;bHindx;bH
2022;04;01;00;30;00;0.576;0.01;0;0
2022;04;01;01;20;00;0.574;0.01;0;0
2022;04;01;05;45;00;0.571;0.01;0;0
2022;04;01;06;50;00;0.569;0.01;0;0
2022;04;01;11;45;00;0.567;0.01;0;0
2022;04;01;14;15;00;0.568;0.01;0;0
2022;04;01;23;35;00;0.563;0.01;0;0
2022;04;02;02;50;00;0.563;0.01;0;0
2022;04;02;04;55;00;0.561;0.01;0;0
2022;04;02;17;05;00;0.559;0.01;0;0
2022;04;03;01;35;00;0.554;0.01;0;0
2022;04;03;03;05;00;0.551;0.01;0;0
2022;04;03;05;50;00;0.551;0.01;0;0
2022;04;03;07;00;00;0.548;0.01;0;0
2022;04;03;21;40;00;0.548;0.01;0;0
2022;04;03;23;25;00;0.549;0.01;0;0
2022;04;04;00;05;00;0.551;0.01;0;0
2022;04;04;00;55;00;0.578;0.01;0;0
2022;04;04;02;15;00;0.578;0.01;0;0
2022;04;04;03;45;00;0.584;0.01;0;0
2022;04;04;06;10;00;0.576;0.01;0;0
2022;04;04;08;05;00;0.565;0.01;0;0
2022;04;04;10;15;00;0.563;0.01;0;0
2022;04;04;10;50;00;0.564;0.01;0;0
2022;04;04;11;30;00;0.56;0.01;0;0
2022;04;04;13;20;00;0.557;0.01;0;0
2022;04;04;14;30;00;0.557;0.01;0;0
2022;04;04;17;40;00;0.553;0.01;0;0
2022;04;04;19;30;00;0.553;0.01;0;0
2022;04;04;21;00;00;0.55;0.01;0;0
2022;04;05;02;30;00;0.549;0.01;0;0
2022;04;05;04;50;00;0.547;0.01;0;0
2022;04;06;03;40;00;0.549;0.01;0;0
2022;04;06;13;30;00;0.55;0.01;0;0
2022;04;06;16;00;00;0.549;0.01;0;0
2022;04;06;17;00;00;0.551;0.01;0;0
2022;04;06;23;30;00;0.55;0.01;0;0
2022;04;06;23;45;00;0.552;0.01;0;0
2022;04;07;00;15;00;0.55;0.01;0;0
2022;04;07;00;45;00;0.552;0.01;0;0
2022;04;07;01;45;00;0.551;0.01;0;0
2022;04;07;02;00;00;0.549;0.01;0;0
2022;04;07;02;15;00;0.551;0.01;0;0
2022;04;07;02;30;00;0.549;0.01;0;0
2022;04;07;02;45;00;0.551;0.01;0;0
2022;04;07;04;00;00;0.55;0.01;0;0
2022;04;07;04;15;00;0.552;0.01;0;0
2022;04;07;05;00;00;0.551;0.01;0;0
2022;04;07;05;30;00;0.553;0.01;0;0
2022;04;07;05;45;00;0.556;0.01;0;0
2022;04;07;06;00;00;0.552;0.01;0;0
2022;04;07;06;30;00;0.552;0.01;0;0
2022;04;07;06;45;00;0.555;0.01;0;0
2022;04;07;07;00;00;0.553;0.01;0;0
2022;04;07;07;30;00;0.555;0.01;0;0
2022;04;07;08;00;00;0.554;0.01;0;0
2022;04;07;08;15;00;0.556;0.01;0;0
2022;04;07;08;45;00;0.553;0.01;0;0
2022;04;07;09;15;00;0.556;0.01;0;0
2022;04;07;09;45;00;0.553;0.01;0;0
2022;04;07;10;00;00;0.556;0.01;0;0
2022;04;07;10;30;00;0.555;0.01;0;0
2022;04;07;10;45;00;0.557;0.01;0;0
2022;04;07;11;45;00;0.556;0.01;0;0
2022;04;07;12;30;00;0.564;0.01;0;0
2022;04;07;13;30;00;0.562;0.01;0;0
2022;04;07;14;00;00;0.565;0.01;0;0
2022;04;07;15;00;00;0.564;0.01;0;0
2022;04;07;15;45;00;0.565;0.01;0;0
2022;04;07;16;30;00;0.568;0.01;0;0
2022;04;07;18;00;00;0.578;0.01;0;0
2022;04;07;19;15;00;0.588;0.01;0;0
2022;04;07;19;45;00;0.594;0.01;0;0
2022;04;07;20;00;00;0.595;0.01;0;0
2022;04;07;20;30;00;0.601;0.01;0;0
2022;04;07;21;15;00;0.607;0.01;0;0
2022;04;07;21;30;00;0.611;0.01;0;0
2022;04;07;22;30;00;0.62;0.01;0;0
2022;04;08;00;30;00;0.644;0.01;0;0
2022;04;08;00;45;00;0.649;0.01;0;0
2022;04;08;02;45;00;0.672;0.01;0;0
2022;04;08;03;15;00;0.68;0.01;0;0
2022;04;08;04;30;00;0.692;0.01;0;0
2022;04;08;06;30;00;0.703;0.01;0;0
2022;04;08;08;30;00;0.707;0.01;0;0
2022;04;08;08;45;00;0.709;0.01;0;0
2022;04;08;10;30;00;0.714;0.01;0;0
2022;04;08;11;00;00;0.714;0.01;0;0
2022;04;08;11;45;00;0.717;0.01;0;0
2022;04;08;14;15;00;0.737;0.01;0;0
2022;04;08;14;45;00;0.743;0.01;0;0
2022;04;08;15;30;00;0.755;0.01;0;0
2022;04;08;16;45;00;0.794;0.01;0;0
2022;04;08;17;00;00;0.803;0.01;0;0
2022;04;08;17;15;00;0.814;0.01;0;0
2022;04;08;17;30;00;0.821;0.01;0;0
2022;04;08;17;45;00;0.832;0.01;0;0
2022;04;08;18;00;00;0.85;0.01;0;0
2022;04;08;18;45;00;0.897;0.01;0;0
2022;04;08;19;00;00;0.916;0.01;0;0
2022;04;08;20;00;00;1.002;0.01;0;0
2022;04;08;20;15;00;1.016;0.01;0;0
2022;04;08;20;30;00;1.033;0.01;0;0
2022;04;08;21;15;00;1.094;0.01;0;0
2022;04;08;21;45;00;1.136;0.01;0;0
2022;04;08;22;15;00;1.182;0.01;0;0
2022;04;08;22;30;00;1.207;0.01;0;0
2022;04;08;23;00;00;1.247;0.01;0;0
2022;04;08;23;45;00;1.31;0.01;0;0
2022;04;09;00;15;00;1.348;0.01;0;0
2022;04;09;01;30;00;1.433;0.01;0;0
2022;04;09;01;45;00;1.446;0.01;0;0
2022;04;09;02;00;00;1.463;0.01;0;0
2022;04;09;02;15;00;1.476;0.01;0;0
2022;04;09;02;30;00;1.493;0.01;0;0
2022;04;09;03;15;00;1.534;0.01;0;0
2022;04;09;03;45;00;1.553;0.01;0;0
2022;04;09;04;15;00;1.578;0.01;0;0
2022;04;09;04;30;00;1.586;0.01;0;0
2022;04;09;04;45;00;1.597;0.01;0;0
2022;04;09;05;30;00;1.62;0.01;0;0
2022;04;09;06;15;00;1.65;0.01;0;0
2022;04;09;06;45;00;1.666;0.01;0;0
2022;04;09;07;00;00;1.671;0.01;0;0
2022;04;09;07;15;00;1.68;0.01;0;0
2022;04;09;07;30;00;1.684;0.01;0;0
2022;04;09;07;45;00;1.694;0.01;0;0
2022;04;09;08;00;00;1.697;0.01;0;0
2022;04;09;08;15;00;1.704;0.01;0;0
2022;04;09;08;30;00;1.708;0.01;0;0
2022;04;09;08;45;00;1.714;0.01;0;0
2022;04;09;09;00;00;1.716;0.01;0;0
2022;04;09;09;15;00;1.714;0.01;0;0
2022;04;09;09;30;00;1.723;0.01;0;0
2022;04;09;10;00;00;1.73;0.01;0;0
2022;04;09;10;30;00;1.744;0.01;0;0
2022;04;09;10;45;00;1.757;0.01;0;0
2022;04;09;11;00;00;1.767;0.01;0;0
2022;04;09;11;15;00;1.781;0.01;0;0
2022;04;09;11;45;00;1.805;0.01;0;0
2022;04;09;12;15;00;1.825;0.01;0;0
2022;04;09;12;45;00;1.836;0.01;0;0
2022;04;09;13;30;00;1.846;0.01;0;0
2022;04;09;14;30;00;1.854;0.01;0;0
2022;04;09;14;45;00;1.858;0.01;0;0
2022;04;09;15;00;00;1.853;0.01;0;0
2022;04;09;15;30;00;1.859;0.01;0;0
2022;04;09;15;45;00;1.865;0.01;0;0
2022;04;09;16;00;00;1.866;0.01;0;0
2022;04;09;16;15;00;1.871;0.01;0;0
2022;04;09;16;45;00;1.876;0.01;0;0
2022;04;09;17;00;00;1.882;0.01;0;0
2022;04;09;17;15;00;1.885;0.01;0;0
2022;04;09;17;30;00;1.896;0.01;0;0
2022;04;09;17;45;00;1.909;0.01;0;0
2022;04;09;18;00;00;1.929;0.01;0;0
2022;04;09;18;15;00;1.946;0.01;0;0
2022;04;09;19;00;00;2.021;0.01;0;0
2022;04;09;19;30;00;2.066;0.01;0;0
2022;04;09;19;45;00;2.085;0.01;0;0
2022;04;09;20;00;00;2.109;0.01;0;0
2022;04;09;20;15;00;2.156;0.01;0;0
2022;04;09;20;30;00;2.21;0.01;0;0
2022;04;09;21;15;00;2.366;0.01;0;0
2022;04;09;21;30;00;2.415;0.01;0;0
2022;04;09;21;45;00;2.454;0.01;0;0
2022;04;09;22;00;00;2.487;0.01;0;0
2022;04;09;22;15;00;2.51;0.01;0;0
2022;04;09;22;45;00;2.546;0.01;0;0
2022;04;09;23;00;00;2.566;0.01;0;0
2022;04;09;23;30;00;2.591;0.01;0;0
2022;04;09;23;45;00;2.601;0.01;0;0
2022;04;10;00;00;00;2.617;0.01;0;0
2022;04;10;00;15;00;2.626;0.01;0;0
2022;04;10;00;45;00;2.639;0.01;0;0
2022;04;10;01;45;00;2.65;0.01;0;0
2022;04;10;02;15;00;2.646;0.01;0;0
2022;04;10;02;30;00;2.649;0.01;0;0
2022;04;10;02;45;00;2.648;0.01;0;0
2022;04;10;03;00;00;2.641;0.01;0;0
2022;04;10;03;15;00;2.64;0.01;0;0
2022;04;10;03;30;00;2.642;0.01;0;0
2022;04;10;03;45;00;2.638;0.01;0;0
2022;04;10;04;00;00;2.638;0.01;0;0
2022;04;10;04;15;00;2.634;0.01;0;0
2022;04;10;04;30;00;2.635;0.01;0;0
2022;04;10;04;45;00;2.63;0.01;0;0
2022;04;10;05;00;00;2.629;0.01;0;0
2022;04;10;05;15;00;2.622;0.01;0;0
2022;04;10;05;45;00;2.622;0.01;0;0
2022;04;10;06;00;00;2.618;0.01;0;0
2022;04;10;06;15;00;2.617;0.01;0;0
2022;04;10;06;30;00;2.609;0.01;0;0
2022;04;10;06;45;00;2.61;0.01;0;0
2022;04;10;07;30;00;2.599;0.01;0;0
2022;04;10;08;15;00;2.598;0.01;0;0
2022;04;10;08;30;00;2.596;0.01;0;0
2022;04;10;09;15;00;2.585;0.01;0;0
2022;04;10;09;30;00;2.584;0.01;0;0
2022;04;10;09;45;00;2.58;0.01;0;0
2022;04;10;10;00;00;2.58;0.01;0;0
2022;04;10;10;15;00;2.574;0.01;0;0
2022;04;10;11;00;00;2.566;0.01;0;0
2022;04;10;11;15;00;2.561;0.01;0;0
2022;04;10;11;45;00;2.558;0.01;0;0
2022;04;10;12;00;00;2.55;0.01;0;0
2022;04;10;12;30;00;2.546;0.01;0;0
2022;04;10;12;45;00;2.541;0.01;0;0
2022;04;10;13;30;00;2.534;0.01;0;0
2022;04;10;14;00;00;2.522;0.01;0;0
2022;04;10;14;30;00;2.517;0.01;0;0
2022;04;10;15;00;00;2.508;0.01;0;0
2022;04;10;15;15;00;2.5;0.01;0;0
2022;04;10;15;45;00;2.497;0.01;0;0
2022;04;10;16;00;00;2.489;0.01;0;0
2022;04;10;16;30;00;2.481;0.01;0;0
2022;04;10;17;00;00;2.475;0.01;0;0
2022;04;10;17;30;00;2.462;0.01;0;0
2022;04;10;17;45;00;2.46;0.01;0;0
2022;04;10;18;00;00;2.453;0.01;0;0
2022;04;10;18;30;00;2.444;0.01;0;0
2022;04;10;18;45;00;2.437;0.01;0;0
2022;04;10;19;45;00;2.418;0.01;0;0
2022;04;10;20;45;00;2.395;0.01;0;0
2022;04;10;21;15;00;2.386;0.01;0;0
2022;04;10;22;00;00;2.364;0.01;0;0
2022;04;10;22;15;00;2.361;0.01;0;0
2022;04;10;23;00;00;2.338;0.01;0;0
2022;04;10;23;15;00;2.333;0.01;0;0
2022;04;10;23;30;00;2.331;0.01;0;0
2022;04;11;00;30;00;2.301;0.01;0;0
2022;04;11;01;15;00;2.287;0.01;0;0
2022;04;11;01;30;00;2.278;0.01;0;0
2022;04;11;01;45;00;2.272;0.01;0;0
2022;04;11;02;00;00;2.268;0.01;0;0
2022;04;11;02;30;00;2.251;0.01;0;0
2022;04;11;02;45;00;2.25;0.01;0;0
2022;04;11;03;15;00;2.233;0.01;0;0
2022;04;11;04;00;00;2.215;0.01;0;0
2022;04;11;04;15;00;2.206;0.01;0;0
2022;04;11;04;30;00;2.202;0.01;0;0
2022;04;11;04;45;00;2.193;0.01;0;0
2022;04;11;05;15;00;2.182;0.01;0;0
2022;04;11;05;30;00;2.172;0.01;0;0
2022;04;11;06;00;00;2.16;0.01;0;0
2022;04;11;06;15;00;2.151;0.01;0;0
2022;04;11;07;00;00;2.129;0.01;0;0
2022;04;11;07;15;00;2.118;0.01;0;0
2022;04;11;07;30;00;2.115;0.01;0;0
2022;04;11;08;00;00;2.096;0.01;0;0
2022;04;11;08;30;00;2.084;0.01;0;0
2022;04;11;08;45;00;2.071;0.01;0;0
2022;04;11;09;00;00;2.063;0.01;0;0
2022;04;11;09;15;00;2.058;0.01;0;0
2022;04;11;09;30;00;2.047;0.01;0;0
2022;04;11;10;30;00;2.016;0.01;0;0
2022;04;11;11;15;00;1.989;0.01;0;0
2022;04;11;12;15;00;1.957;0.01;0;0
2022;04;11;12;45;00;1.938;0.01;0;0
2022;04;11;13;00;00;1.932;0.01;0;0
2022;04;11;13;30;00;1.916;0.01;0;0
2022;04;11;13;45;00;1.906;0.01;0;0
2022;04;11;14;00;00;1.899;0.01;0;0
2022;04;11;14;15;00;1.887;0.01;0;0
2022;04;11;15;00;00;1.866;0.01;0;0
2022;04;11;15;45;00;1.838;0.01;0;0
2022;04;11;16;45;00;1.806;0.01;0;0
2022;04;11;17;00;00;1.794;0.01;0;0
2022;04;11;17;15;00;1.788;0.01;0;0
2022;04;11;17;45;00;1.771;0.01;0;0
2022;04;11;18;00;00;1.765;0.01;0;0
2022;04;11;18;15;00;1.754;0.01;0;0
2022;04;11;18;45;00;1.739;0.01;0;0
2022;04;11;19;15;00;1.72;0.01;0;0
2022;04;11;19;45;00;1.706;0.01;0;0
2022;04;11;20;30;00;1.681;0.01;0;0
2022;04;11;21;15;00;1.661;0.01;0;0
2022;04;11;21;30;00;1.65;0.01;0;0
2022;04;11;21;45;00;1.641;0.01;0;0
2022;04;11;22;00;00;1.635;0.01;0;0
2022;04;11;22;15;00;1.625;0.01;0;0
2022;04;11;22;30;00;1.621;0.01;0;0
2022;04;11;22;45;00;1.612;0.01;0;0
2022;04;11;23;00;00;1.607;0.01;0;0
2022;04;11;23;15;00;1.598;0.01;0;0
2022;04;11;23;45;00;1.583;0.01;0;0
2022;04;12;00;00;00;1.578;0.01;0;0
2022;04;12;00;30;00;1.562;0.01;0;0
2022;04;12;00;45;00;1.557;0.01;0;0
2022;04;12;01;00;00;1.549;0.01;0;0
2022;04;12;01;15;00;1.544;0.01;0;0
2022;04;12;01;30;00;1.535;0.01;0;0
2022;04;12;01;45;00;1.531;0.01;0;0
2022;04;12;02;00;00;1.52;0.01;0;0
2022;04;12;02;15;00;1.516;0.01;0;0
2022;04;12;02;45;00;1.502;0.01;0;0
2022;04;12;03;45;00;1.481;0.01;0;0
2022;04;12;04;15;00;1.467;0.01;0;0
2022;04;12;05;00;00;1.454;0.01;0;0
2022;04;12;05;45;00;1.435;0.01;0;0
2022;04;12;06;00;00;1.43;0.01;0;0
2022;04;12;06;15;00;1.427;0.01;0;0
2022;04;12;07;00;00;1.408;0.01;0;0
2022;04;12;07;30;00;1.397;0.01;0;0
2022;04;12;07;45;00;1.394;0.01;0;0
2022;04;12;08;15;00;1.381;0.01;0;0
2022;04;12;09;00;00;1.369;0.01;0;0
2022;04;12;09;15;00;1.363;0.01;0;0
2022;04;12;09;30;00;1.36;0.01;0;0
2022;04;12;09;45;00;1.353;0.01;0;0
2022;04;12;10;00;00;1.352;0.01;0;0
2022;04;12;10;15;00;1.344;0.01;0;0
2022;04;12;10;30;00;1.341;0.01;0;0
2022;04;12;10;45;00;1.331;0.01;0;0
2022;04;12;11;00;00;1.33;0.01;0;0
2022;04;12;11;30;00;1.317;0.01;0;0
2022;04;12;12;00;00;1.308;0.01;0;0
2022;04;12;12;30;00;1.296;0.01;0;0
2022;04;12;13;00;00;1.29;0.01;0;0
2022;04;12;13;15;00;1.283;0.01;0;0
2022;04;12;14;00;00;1.268;0.01;0;0
2022;04;12;14;15;00;1.266;0.01;0;0
2022;04;12;14;30;00;1.259;0.01;0;0
2022;04;12;14;45;00;1.254;0.01;0;0
2022;04;12;15;00;00;1.251;0.01;0;0
2022;04;12;15;15;00;1.244;0.01;0;0
2022;04;12;15;45;00;1.234;0.01;0;0
2022;04;12;16;00;00;1.23;0.01;0;0
2022;04;12;16;15;00;1.228;0.01;0;0
2022;04;12;17;00;00;1.211;0.01;0;0
2022;04;12;17;15;00;1.21;0.01;0;0
2022;04;12;17;30;00;1.204;0.01;0;0
2022;04;12;18;00;00;1.2;0.01;0;0
2022;04;12;18;15;00;1.191;0.01;0;0
2022;04;12;18;30;00;1.191;0.01;0;0
2022;04;12;18;45;00;1.186;0.01;0;0
2022;04;12;19;15;00;1.179;0.01;0;0
2022;04;12;19;30;00;1.178;0.01;0;0
2022;04;12;20;00;00;1.169;0.01;0;0
2022;04;12;20;30;00;1.165;0.01;0;0
2022;04;12;22;00;00;1.144;0.01;0;0
2022;04;12;22;15;00;1.145;0.01;0;0
2022;04;12;23;00;00;1.134;0.01;0;0
2022;04;12;23;30;00;1.132;0.01;0;0
2022;04;12;23;45;00;1.127;0.01;0;0
2022;04;13;00;00;00;1.124;0.01;0;0
2022;04;13;00;15;00;1.123;0.01;0;0
2022;04;13;01;15;00;1.111;0.01;0;0
2022;04;13;02;00;00;1.105;0.01;0;0
2022;04;13;02;15;00;1.101;0.01;0;0
2022;04;13;02;30;00;1.102;0.01;0;0
2022;04;13;02;45;00;1.098;0.01;0;0
2022;04;13;03;30;00;1.093;0.01;0;0
2022;04;13;04;00;00;1.086;0.01;0;0
2022;04;13;04;45;00;1.081;0.01;0;0
2022;04;13;05;00;00;1.081;0.01;0;0
2022;04;13;05;45;00;1.073;0.01;0;0
2022;04;13;07;30;00;1.059;0.01;0;0
2022;04;13;08;00;00;1.056;0.01;0;0
2022;04;13;08;30;00;1.054;0.01;0;0
2022;04;13;09;10;00;1.05;0.01;0;0
2022;04;13;10;09;00;1.043;0.01;0;0
2022;04;13;11;15;00;1.035;0.01;0;0
2022;04;13;12;30;00;1.026;0.01;0;0
2022;04;13;14;15;00;1.015;0.01;0;0
2022;04;13;15;45;00;1.006;0.01;0;0
2022;04;13;16;30;00;0.998;0.01;0;0
2022;04;13;16;55;00;0.988;0.01;0;0
2022;04;13;17;19;00;0.979;0.01;0;0
2022;04;13;17;45;00;0.969;0.01;0;0
2022;04;13;18;15;00;0.96;0.01;0;0
2022;04;13;18;30;00;0.957;0.01;0;0
2022;04;13;19;15;00;0.958;0.01;0;0
2022;04;13;21;00;00;0.968;0.01;0;0
2022;04;13;22;00;00;0.967;0.01;0;0
2022;04;13;23;30;00;0.963;0.01;0;0
2022;04;14;01;45;00;0.955;0.01;0;0
2022;04;14;03;01;00;0.95;0.01;0;0
2022;04;14;06;00;00;0.937;0.01;0;0
2022;04;14;07;45;00;0.931;0.01;0;0
2022;04;14;08;45;00;0.93;0.01;0;0
2022;04;14;09;00;00;0.936;0.01;0;0
2022;04;14;09;45;00;0.967;0.01;0;0
2022;04;14;10;00;00;0.969;0.01;0;0
2022;04;14;10;30;00;0.964;0.01;0;0
2022;04;14;11;15;00;0.947;0.01;0;0
2022;04;14;11;30;00;0.939;0.01;0;0
2022;04;14;12;15;00;0.928;0.01;0;0
2022;04;14;13;00;00;0.92;0.01;0;0
2022;04;14;14;30;00;0.91;0.01;0;0
2022;04;14;16;45;00;0.903;0.01;0;0
2022;04;14;17;30;00;0.896;0.01;0;0
2022;04;14;17;45;00;0.89;0.01;0;0
2022;04;14;18;15;00;0.881;0.01;0;0
2022;04;14;18;45;00;0.868;0.01;0;0
2022;04;14;19;15;00;0.859;0.01;0;0
2022;04;14;19;45;00;0.852;0.01;0;0
2022;04;14;20;00;00;0.851;0.01;0;0
2022;04;14;20;30;00;0.853;0.01;0;0
2022;04;14;21;15;00;0.863;0.01;0;0
2022;04;14;22;15;00;0.87;0.01;0;0
2022;04;14;23;45;00;0.87;0.01;0;0
2022;04;15;01;45;00;0.866;0.01;0;0
2022;04;15;03;00;00;0.861;0.01;0;0
2022;04;15;04;30;00;0.856;0.01;0;0
2022;04;15;05;30;00;0.853;0.01;0;0
2022;04;15;07;00;00;0.846;0.01;0;0
2022;04;15;07;15;00;0.847;0.01;0;0
2022;04;15;07;30;00;0.85;0.01;0;0
2022;04;15;07;45;00;0.858;0.01;0;0
2022;04;15;08;15;00;0.879;0.01;0;0
2022;04;15;08;45;00;0.89;0.01;0;0
2022;04;15;09;30;00;0.882;0.01;0;0
2022;04;15;10;45;00;0.843;0.01;0;0
2022;04;15;11;15;00;0.832;0.01;0;0
2022;04;15;11;45;00;0.824;0.01;0;0
2022;04;15;12;45;00;0.816;0.01;0;0
2022;04;15;13;30;00;0.812;0.01;0;0
2022;04;15;15;45;00;0.809;0.01;0;0
2022;04;15;17;45;00;0.812;0.01;0;0
2022;04;15;18;15;00;0.815;0.01;0;0
2022;04;15;19;00;00;0.831;0.01;0;0
2022;04;15;19;30;00;0.837;0.01;0;0
2022;04;15;19;45;00;0.839;0.01;0;0
2022;04;15;20;15;00;0.839;0.01;0;0
2022;04;15;20;45;00;0.837;0.01;0;0
2022;04;15;21;45;00;0.828;0.01;0;0
2022;04;15;22;45;00;0.815;0.01;0;0
2022;04;15;23;30;00;0.808;0.01;0;0
2022;04;16;00;45;00;0.801;0.01;0;0
2022;04;16;01;45;00;0.797;0.01;0;0
2022;04;16;03;15;00;0.792;0.01;0;0
2022;04;16;05;00;00;0.788;0.01;0;0
2022;04;16;07;00;00;0.782;0.01;0;0
2022;04;16;07;45;00;0.781;0.01;0;0
2022;04;16;08;30;00;0.779;0.01;0;0
2022;04;16;09;30;00;0.774;0.01;0;0
2022;04;16;10;00;00;0.766;0.01;0;0
2022;04;16;11;15;00;0.743;0.01;0;0
2022;04;16;11;30;00;0.739;0.01;0;0
2022;04;16;12;00;00;0.734;0.01;0;0
2022;04;16;12;30;00;0.735;0.01;0;0
2022;04;16;12;45;00;0.737;0.01;0;0
2022;04;16;13;15;00;0.743;0.01;0;0
2022;04;16;13;45;00;0.751;0.01;0;0
2022;04;16;14;30;00;0.757;0.01;0;0
2022;04;16;15;15;00;0.759;0.01;0;0
2022;04;16;17;00;00;0.758;0.01;0;0
2022;04;16;18;00;00;0.754;0.01;0;0
2022;04;16;21;30;00;0.747;0.01;0;0
2022;04;16;23;00;00;0.742;0.01;0;0
2022;04;16;23;45;00;0.74;0.01;0;0
2022;04;17;03;00;00;0.733;0.01;0;0
2022;04;17;04;00;00;0.73;0.01;0;0
2022;04;17;04;45;00;0.729;0.01;0;0
2022;04;17;05;45;00;0.726;0.01;0;0
2022;04;17;07;15;00;0.722;0.01;0;0
